Time Start: 1712178823.4443576 	 Time End: 1712178823.926438 	 Time Elapsed: 482.08045959472656 ms.
Time Start: 1712178957.804569 	 Time End: 1712178957.8996627 	 Time Elapsed: 95.0937271118164 ms.
Time Start: 1712179205.0630393 	 Time End: 1712179205.1673641 	 Time Elapsed: 104.3248176574707 ms.
Time Start: 1712179291.039388 	 Time End: 1712179291.1226096 	 Time Elapsed: 83.2216739654541 ms.
Time Start: 1712179297.1038876 	 Time End: 1712179297.2030537 	 Time Elapsed: 99.1661548614502 ms.
Time Start: 1712179387.7212863 	 Time End: 1712179387.8127706 	 Time Elapsed: 91.48430824279785 ms.
Time Start: 1712179519.8302162 	 Time End: 1712179519.919168 	 Time Elapsed: 88.95182609558105 ms.
Time Start: 1712179574.3519926 	 Time End: 1712179574.4431953 	 Time Elapsed: 91.2027359008789 ms.
Time Start: 1712179894.0805535 	 Time End: 1712179894.1676445 	 Time Elapsed: 87.09096908569336 ms.
Time Start: 1712179918.3547404 	 Time End: 1712179918.5194104 	 Time Elapsed: 164.66999053955078 ms.
Time Start: 1712180318.0107217 	 Time End: 1712180318.1318476 	 Time Elapsed: 121.12593650817871 ms.
Time Start: 1712180323.416857 	 Time End: 1712180323.554253 	 Time Elapsed: 137.39609718322754 ms.
Time Start: 1712180327.918069 	 Time End: 1712180328.0686185 	 Time Elapsed: 150.54965019226074 ms.
Time Start: 1712180332.3150778 	 Time End: 1712180332.4332926 	 Time Elapsed: 118.21484565734863 ms.
Time Start: 1712180337.7797976 	 Time End: 1712180337.8848274 	 Time Elapsed: 105.02982139587402 ms.
Time Start: 1712180342.0754778 	 Time End: 1712180342.199881 	 Time Elapsed: 124.40323829650879 ms.
Time Start: 1712180388.468797 	 Time End: 1712180388.6295178 	 Time Elapsed: 160.7208251953125 ms.
Time Start: 1712180454.165458 	 Time End: 1712180454.280354 	 Time Elapsed: 114.89605903625488 ms.
Time Start: 1712709703.6176426 	 Time End: 1712709703.809221 	 Time Elapsed: 191.57838821411133 ms.
